user_id,variation
8085,Blue-Green
12191,Hazel
8178,Brown
8427,Brown
8423,Hazel
8155,Brown
7967,Blue-Grey
8184,Brown-Green
8203,Brown
8202,Green
8360,Blue-Grey
8363,Green
8369,Blue
8204,Green
8206,Blue-Green
8212,Brown
8246,Blue
8336,Brown
8237,Blue
8258,Brown
8415,Brown
8417,Mixed
8449,Blue
8466,Blue-Grey
8469,Mixed
8476,Green
8499,Brown
8522,Brown
8534,Blue-Grey
8538,Blue-Grey
8547,Brown
4696,Green
8554,Blue-Green
8291,Hazel
8565,Hazel
8567,Blue
8578,Blue-Grey
6731,Blue-Grey
8529,Blue
8588,Blue
8592,Green
8598,Brown
8656,Brown-Green
8675,Green
8685,Brown
8701,Green
8707,Blue-Grey
8712,Blue
8733,Blue-Green
8737,Hazel
8739,Brown
8731,Green
5943,Brown
9107,Blue-Grey
8780,Brown
8058,Hazel
8786,Brown
8228,Brown
8803,Hazel
8808,Hazel
8818,Brown
8817,Blue
8841,Brown
8844,Blue-Grey
8852,Hazel
8874,Brown
8885,Blue-Grey
8890,Brown-Green
8905,Blue
8911,Blue-Green
8915,Blue-Grey
8930,Blue-Grey
8933,Blue-Grey
8939,Brown-Green
9111,Hazel
8947,Blue
8948,Blue
8951,Blue-Grey
8934,Blue-Green
8977,Green
8978,Blue-Grey
8990,Brown
9119,Blue-Grey
9129,Brown
9133,Brown
9138,Brown
9146,Hazel
9158,Blue
9164,Brown
9166,Brown
9172,Mixed
9178,Brown-Green
9179,Blue
9215,Blue
9220,Brown
9223,Blue
9232,Blue
9243,Brown-Green
9244,Hazel
9246,Brown
9247,Brown
9486,Blue
9259,Blue-Green
9262,Brown
9272,Brown
9276,Blue
9277,Hazel
9281,Brown
9283,Blue-Grey
9291,Green
9296,Mixed
9323,Green
9324,Blue
9327,Blue-Green
9360,Brown
9366,Blue-Grey
9367,Blue-Green
9351,Blue-Grey
9372,Blue-Grey
9380,Green
9399,Brown
9489,Blue-Grey
9495,Blue-Green
9518,Blue-Grey
9519,Blue-Grey
9527,Hazel
9541,Blue
9544,Blue-Grey
9548,Blue
9539,Brown
9561,Blue-Grey
9314,Hazel
9185,Hazel
9565,Hazel
9135,Green
8788,Brown
8796,Blue-Grey
8988,Hazel
9421,Blue
9568,Blue-Green
8546,Blue-Green
9218,Hazel
9575,Brown-Green
9584,Green
9589,Blue-Grey
9869,Brown
9928,Blue-Green
9941,Brown
9796,Blue-Grey
4048,Brown
9516,Brown
6316,Hazel
5213,Blue
9413,Blue-Grey
9126,Blue-Grey
9871,Blue-Grey
9969,Brown
9974,Green
8619,Hazel
8864,Blue
8416,Blue-Grey
8563,Brown-Green
9616,Hazel
9078,Brown
6290,Brown
9647,Blue-Grey
1018,Brown
9656,Brown
9635,Brown-Green
9664,Brown
9672,Blue
9697,Brown
9702,Brown
2554,Blue
9720,Brown
9726,Brown
9724,Brown
9743,Brown-Green
9747,Brown
9749,Blue-Grey
9752,Brown
9876,Blue
9920,Blue-Grey
9979,Brown-Green
9781,Green
9784,Blue
9375,Brown
9799,Brown
9803,Brown-Green
9804,Hazel
9812,Brown
9824,Mixed
9826,Brown
9835,Blue
9832,Blue-Green
9888,Brown
10279,Hazel
2339,Blue-Grey
10326,Blue
10004,Hazel
10012,Brown
10036,Brown
10039,Hazel
10041,Blue
10063,Brown
10074,Brown-Green
10080,Green
10097,Blue
10106,Blue-Grey
10110,Brown
10112,Mixed
10123,Green
10127,Green
10142,Hazel
10171,Brown
10232,Brown
10141,Blue
11548,Hazel
10246,Brown
10093,Brown
10339,Blue
10347,Blue
9195,Blue-Grey
10362,Hazel
10374,Blue-Green
10381,Brown
10383,Blue-Grey
10408,Blue-Grey
10195,Mixed
10948,Brown
10959,Brown
10962,Brown-Green
10420,Blue-Grey
10414,Brown
10426,Blue
10430,Brown
10424,Brown
10448,Blue-Grey
10469,Brown
11087,Brown
11093,Brown
11098,Brown
11125,Blue
11128,Hazel
11135,Hazel
11143,Blue-Green
10477,Blue-Grey
10489,Blue-Grey
10490,Brown
10828,Blue-Grey
10986,Brown-Green
11076,Blue-Grey
10964,Hazel
11082,Brown
10497,Green
10507,Hazel
10508,Brown
8217,Blue
10530,Blue-Grey
8120,Blue
10544,Brown
10572,Blue-Grey
10575,Brown
10583,Hazel
10586,Blue-Grey
10620,Brown
10627,Green
10632,Brown
10635,Mixed
9143,Blue-Green
10645,Blue
9902,Mixed
10653,Brown
11003,Blue
11005,Brown
10781,Blue-Green
10785,Blue-Green
10811,Blue-Grey
10824,Hazel
10827,Blue-Green
10834,Blue-Green
10840,Blue
10868,Blue-Green
10882,Hazel
10883,Hazel
10897,Blue-Grey
10919,Blue
11010,Brown
10977,Brown-Green
11008,Brown
11053,Blue
10077,Blue-Green
11062,Green
11069,Mixed
10926,Hazel
11015,Brown
10100,Brown-Green
11360,Brown
11364,Brown
11380,Hazel
11393,Blue-Grey
11396,Hazel
11397,Brown
11432,Brown
6326,Brown-Green
11441,Blue
10790,Blue-Grey
11458,Blue-Grey
11459,Hazel
11012,Blue
11499,Brown
11502,Mixed
11584,Hazel
11509,Brown
11515,Green
11520,Blue-Green
11526,Brown-Green
11528,Brown
11529,Brown
11557,Green
11562,Mixed
11594,Brown
11641,Blue-Green
11643,Brown
11669,Brown
11531,Hazel
11698,Brown-Green
11737,Brown
11747,Brown
11753,Blue-Grey
11758,Blue
11773,Brown
11782,Blue-Green
11790,Hazel
11795,Hazel
11796,Brown
11802,Blue-Grey
11814,Brown
11819,Green
11828,Brown
11851,Hazel
11867,Brown
12211,Hazel
12214,Blue-Grey
12224,Blue-Grey
12225,Brown
12243,Blue
11875,Blue
11878,Green
9265,Brown
11901,Brown
11925,Blue-Grey
12246,Hazel
11935,Blue-Green
11944,Green
11963,Brown
12010,Brown
12012,Hazel
11013,Green
12019,Brown
12026,Brown-Green
12049,Hazel
12258,Brown-Green
10306,Hazel
12062,Brown-Green
12078,Blue-Green
12112,Blue-Green
12122,Blue
12128,Brown
12152,Blue-Grey
12157,Blue-Grey
12274,Brown
12284,Brown
11931,Green
